"Level","Variable","h5-Group","h5-Mean","h5-SD","h5-n","h4-Group","h4-Mean","h4-SD","h4-n","h3-Group","h3-Mean","h3-SD","h3-n","h2-Group","h2-Mean","h2-SD","h2-n","h1-Group","h1-Mean","h1-SD","h1-n"
15,"maxPatch","e",0.6,0.07,4,"abc",1,0.13,30,"e",0.89,0.13,34,"abc",1.05,0.07,4,"a",1.04,0.02,11
-4,"numberPatches","d",0.97,0.12,112,"efgh",0.99,0.12,216,"abc",1.01,0.1,198,"ab",1.02,0.12,143,"bcd",1.03,0.14,263
-3,"numberPatches","d",0.92,0.12,117,"gh",0.95,0.11,223,"cd",0.96,0.11,206,"b",0.96,0.12,145,"d",0.97,0.12,266
-2,"numberPatches","bcd",1.05,0.14,111,"def",1.02,0.14,224,"ab",1.02,0.11,205,"ab",1,0.11,143,"d",0.96,0.18,265
-1,"numberPatches","abcd",1.06,0.14,119,"cde",1.03,0.12,230,"ab",1.01,0.13,214,"ab",1.02,0.12,144,"bcd",1.03,0.15,263
0,"numberPatches","cd",1.03,0.23,111,"b",1.12,0.26,227,"ab",1.04,0.19,209,"a",1.03,0.19,144,"bcd",1.07,0.21,266
1,"numberPatches","abc",1.09,0.41,119,"b",1.13,0.32,229,"abcd",1,0.21,217,"ab",1,0.21,143,"d",0.98,0.17,265
2,"numberPatches","a",1.15,0.34,113,"a",1.21,0.35,229,"ab",1.03,0.16,212,"ab",1.01,0.15,143,"cd",1,0.2,261
3,"numberPatches","ab",1.13,0.3,117,"bc",1.09,0.18,241,"a",1.05,0.19,220,"ab",0.98,0.15,144,"bcd",1.03,0.16,268
4,"numberPatches","d",0.99,0.15,113,"def",1.02,0.16,208,"bcd",0.99,0.11,210,"ab",0.99,0.17,140,"bcd",1.04,0.18,249
5,"numberPatches","d",0.97,0.18,117,"fgh",0.96,0.14,197,"cd",0.96,0.11,207,"ab",1.02,0.13,137,"cd",1,0.14,242
6,"numberPatches","cd",1.02,0.19,111,"bcd",1.06,0.2,194,"ab",1.02,0.15,206,"ab",0.99,0.11,137,"bcd",1.01,0.19,241
7,"numberPatches","abcd",1.07,0.18,119,"cde",1.03,0.18,197,"ab",1.03,0.15,208,"a",1.03,0.15,135,"bcd",1.05,0.19,242
8,"numberPatches","cd",1,0.18,111,"efgh",0.98,0.15,194,"abcd",0.99,0.16,205,"a",1.03,0.23,125,"bc",1.08,0.22,229
9,"numberPatches","d",0.94,0.17,120,"gh",0.95,0.13,197,"d",0.96,0.12,210,"ab",1,0.12,128,"bc",1.08,0.28,231
10,"numberPatches","cd",1,0.16,112,"defgh",1,0.14,195,"a",1.04,0.18,200,"ab",1.01,0.14,125,"a",1.19,0.74,230
11,"numberPatches","cd",1.01,0.16,118,"defg",1.01,0.15,196,"ab",1.02,0.12,198,"ab",1.01,0.14,128,"a",1.19,0.47,231
12,"numberPatches","d",0.99,0.14,108,"fgh",0.96,0.11,171,"cd",0.96,0.1,181,"ab",0.98,0.13,105,"ab",1.11,0.27,201
13,"numberPatches","d",0.93,0.11,62,"h",0.92,0.14,92,"d",0.95,0.13,111,"b",0.94,0.14,46,"ab",1.12,0.19,90
14,"numberPatches","bcd",1.04,0.06,22,"gh",0.94,0.22,46,"abcd",1,0.18,61,"b",0.9,0.06,15,"bcd",1.06,0.13,19
15,"numberPatches","abcd",1.07,0.02,4,"h",0.88,0.18,30,"a",1.09,0.12,34,"b",0.93,0.04,4,"bcd",1.07,0.04,11
